,items,support,ordered_statistics
52,"frozenset({'101.0', 'Reta', 'Colisão traseira', 'Condutor deixou de manter distância do veículo da frente'})",0.011698825437926032,"[OrderedStatistic(items_base=frozenset({'101.0', 'Condutor deixou de manter distância do veículo da frente'}), items_add=frozenset({'Reta', 'Colisão traseira'}), confidence=0.6097560975609756, lift=4.383365514525296), OrderedStatistic(items_base=frozenset({'101.0', 'Reta', 'Condutor deixou de manter distância do veículo da frente'}), items_add=frozenset({'Colisão traseira'}), confidence=0.78125, lift=4.079592428932149)]"
53,"frozenset({'Acessar a via sem observar a presença dos outros veículos', 'Céu Claro', 'Colisão transversal', 'Reta'})",0.01984120794272255,"[OrderedStatistic(items_base=frozenset({'Acessar a via sem observar a presença dos outros veículos', 'Reta', 'Céu Claro'}), items_add=frozenset({'Colisão transversal'}), confidence=0.6077400860009555, lift=4.873246926008163)]"
54,"frozenset({'Atropelamento de Animal', 'Animais na Pista', 'Reta'})",0.011449250495250278,"[OrderedStatistic(items_base=frozenset({'Animais na Pista'}), items_add=frozenset({'Atropelamento de Animal', 'Reta'}), confidence=0.6071133167907362, lift=50.87768317142132), OrderedStatistic(items_base=frozenset({'Atropelamento de Animal'}), items_add=frozenset({'Animais na Pista', 'Reta'}), confidence=0.7520491803278689, lift=51.236047716938735), OrderedStatistic(items_base=frozenset({'Animais na Pista', 'Reta'}), items_add=frozenset({'Atropelamento de Animal'}), confidence=0.7800212539851222, lift=51.23604771693873), OrderedStatistic(items_base=frozenset({'Atropelamento de Animal', 'Reta'}), items_add=frozenset({'Animais na Pista'}), confidence=0.9594771241830066, lift=50.87768317142132)]"
55,"frozenset({'Sem Vítimas', 'Reta', 'Demais falhas mecânicas ou elétricas', 'Incêndio'})",0.011012494345567706,"[OrderedStatistic(items_base=frozenset({'Incêndio'}), items_add=frozenset({'Sem Vítimas', 'Reta', 'Demais falhas mecânicas ou elétricas'}), confidence=0.6029035012809565, lift=43.0897888111715), OrderedStatistic(items_base=frozenset({'Demais falhas mecânicas ou elétricas', 'Incêndio'}), items_add=frozenset({'Sem Vítimas', 'Reta'}), confidence=0.6962524654832348, lift=6.297411019986555), OrderedStatistic(items_base=frozenset({'Sem Vítimas', 'Demais falhas mecânicas ou elétricas'}), items_add=frozenset({'Reta', 'Incêndio'}), confidence=0.5443330763299923, lift=41.05488140051703), OrderedStatistic(items_base=frozenset({'Reta', 'Incêndio'}), items_add=frozenset({'Sem Vítimas', 'Demais falhas mecânicas ou elétricas'}), confidence=0.8305882352941177, lift=41.05488140051703), OrderedStatistic(items_base=frozenset({'Sem Vítimas', 'Incêndio'}), items_add=frozenset({'Reta', 'Demais falhas mecânicas ou elétricas'}), confidence=0.6281138790035588, lift=22.71164843149416), OrderedStatistic(items_base=frozenset({'Reta', 'Demais falhas mecânicas ou elétricas', 'Incêndio'}), items_add=frozenset({'Sem Vítimas'}), confidence=0.9605442176870749, lift=5.35613892769424), OrderedStatistic(items_base=frozenset({'Sem Vítimas', 'Reta', 'Demais falhas mecânicas ou elétricas'}), items_add=frozenset({'Incêndio'}), confidence=0.7870680044593088, lift=43.0897888111715), OrderedStatistic(items_base=frozenset({'Sem Vítimas', 'Reta', 'Incêndio'}), items_add=frozenset({'Demais falhas mecânicas ou elétricas'}), confidence=0.8641370869033048, lift=20.850193641055313)]"
56,"frozenset({'Acessar a via sem observar a presença dos outros veículos', 'Reta', 'Colisão transversal'})",0.029091079255642735,"[OrderedStatistic(items_base=frozenset({'Acessar a via sem observar a presença dos outros veículos', 'Reta'}), items_add=frozenset({'Colisão transversal'}), confidence=0.5987158908507223, lift=4.800885184058656)]"
57,"frozenset({'Céu Claro', 'Condutor deixou de manter distância do veículo da frente', 'Colisão traseira', 'Com Vítimas Feridas'})",0.03043254457252492,"[OrderedStatistic(items_base=frozenset({'Céu Claro', 'Condutor deixou de manter distância do veículo da frente'}), items_add=frozenset({'Colisão traseira', 'Com Vítimas Feridas'}), confidence=0.5973668095529701, lift=4.048693180424078), OrderedStatistic(items_base=frozenset({'Céu Claro', 'Condutor deixou de manter distância do veículo da frente', 'Com Vítimas Feridas'}), items_add=frozenset({'Colisão traseira'}), confidence=0.7515408320493067, lift=3.9244547692310014)]"
58,"frozenset({'Céu Claro', 'Colisão transversal', 'Interseção de vias'})",0.015894804161662168,"[OrderedStatistic(items_base=frozenset({'Céu Claro', 'Interseção de vias'}), items_add=frozenset({'Colisão transversal'}), confidence=0.5955581531268264, lift=4.775564432621352)]"
59,"frozenset({'Dupla', 'Condutor deixou de manter distância do veículo da frente', 'Colisão traseira', 'Com Vítimas Feridas'})",0.024333556910886147,"[OrderedStatistic(items_base=frozenset({'Dupla', 'Condutor deixou de manter distância do veículo da frente'}), items_add=frozenset({'Colisão traseira', 'Com Vítimas Feridas'}), confidence=0.5945121951219512, lift=4.029345841745762), OrderedStatistic(items_base=frozenset({'Dupla', 'Condutor deixou de manter distância do veículo da frente', 'Com Vítimas Feridas'}), items_add=frozenset({'Colisão traseira'}), confidence=0.7532592950265572, lift=3.9334283737767826)]"
60,"frozenset({'Manhã', 'Condutor deixou de manter distância do veículo da frente', 'Colisão traseira', 'Com Vítimas Feridas'})",0.017938199004819917,"[OrderedStatistic(items_base=frozenset({'Manhã', 'Condutor deixou de manter distância do veículo da frente'}), items_add=frozenset({'Colisão traseira', 'Com Vítimas Feridas'}), confidence=0.5921730175077241, lift=4.013491910286783), OrderedStatistic(items_base=frozenset({'Manhã', 'Condutor deixou de manter distância do veículo da frente', 'Com Vítimas Feridas'}), items_add=frozenset({'Colisão traseira'}), confidence=0.7419354838709679, lift=3.8742968099278228)]"
61,"frozenset({'Atropelamento de Animal', 'Animais na Pista', 'Com Vítimas Feridas'})",0.011152880250822818,"[OrderedStatistic(items_base=frozenset({'Animais na Pista'}), items_add=frozenset({'Atropelamento de Animal', 'Com Vítimas Feridas'}), confidence=0.5913978494623656, lift=50.6870651486401), OrderedStatistic(items_base=frozenset({'Atropelamento de Animal'}), items_add=frozenset({'Animais na Pista', 'Com Vítimas Feridas'}), confidence=0.7325819672131147, lift=49.48903828879407), OrderedStatistic(items_base=frozenset({'Animais na Pista', 'Com Vítimas Feridas'}), items_add=frozenset({'Atropelamento de Animal'}), confidence=0.7534246575342466, lift=49.48903828879407), OrderedStatistic(items_base=frozenset({'Atropelamento de Animal', 'Com Vítimas Feridas'}), items_add=frozenset({'Animais na Pista'}), confidence=0.9558823529411764, lift=50.6870651486401)]"
